NAME(Used only as reminder for value);VALUE;LABEL
OdBm::DisplayUnitType::DUT_UNDEFINED;-2;ODBM_CSV_NULL
OdBm::DisplayUnitType::DUT_CUSTOM;-1;ODBM_CSV_NULL
OdBm::DisplayUnitType::DUT_METERS;0;Meters
OdBm::DisplayUnitType::DUT_CENTIMETERS;1;Centimeters
OdBm::DisplayUnitType::DUT_MILLIMETERS;2;Millimeters
OdBm::DisplayUnitType::DUT_DECIMAL_FEET;3;Decimal feet
OdBm::DisplayUnitType::DUT_FEET_FRACTIONAL_INCHES;4;Feet and fractional inches
OdBm::DisplayUnitType::DUT_FRACTIONAL_INCHES;5;Fractional inches
OdBm::DisplayUnitType::DUT_DECIMAL_INCHES;6;Decimal inches
OdBm::DisplayUnitType::DUT_ACRES;7;Acres
OdBm::DisplayUnitType::DUT_HECTARES;8;Hectares
OdBm::DisplayUnitType::DUT_METERS_CENTIMETERS;9;Meters and centimeters
OdBm::DisplayUnitType::DUT_CUBIC_YARDS;10;Cubic yards
OdBm::DisplayUnitType::DUT_SQUARE_FEET;11;Square feet
OdBm::DisplayUnitType::DUT_SQUARE_METERS;12;Square meters
OdBm::DisplayUnitType::DUT_CUBIC_FEET;13;Cubic feet
OdBm::DisplayUnitType::DUT_CUBIC_METERS;14;Cubic meters
OdBm::DisplayUnitType::DUT_DECIMAL_DEGREES;15;Decimal degrees
OdBm::DisplayUnitType::DUT_DEGREES_AND_MINUTES;16;Degrees minutes seconds
OdBm::DisplayUnitType::DUT_GENERAL;17;General
OdBm::DisplayUnitType::DUT_FIXED;18;Fixed
OdBm::DisplayUnitType::DUT_PERCENTAGE;19;Percentage
OdBm::DisplayUnitType::DUT_SQUARE_INCHES;20;Square inches
OdBm::DisplayUnitType::DUT_SQUARE_CENTIMETERS;21;Square centimeters
OdBm::DisplayUnitType::DUT_SQUARE_MILLIMETERS;22;Square millimeters
OdBm::DisplayUnitType::DUT_CUBIC_INCHES;23;Cubic inches
OdBm::DisplayUnitType::DUT_CUBIC_CENTIMETERS;24;Cubic centimeters
OdBm::DisplayUnitType::DUT_CUBIC_MILLIMETERS;25;Cubic millimeters
OdBm::DisplayUnitType::DUT_LITERS;26;Liters
OdBm::DisplayUnitType::DUT_GALLONS_US;27;US gallons
OdBm::DisplayUnitType::DUT_KILOGRAMS_PER_CUBIC_METER;28;Kilograms per cubic meter
OdBm::DisplayUnitType::DUT_POUNDS_MASS_PER_CUBIC_FOOT;29;Pounds per cubic foot
OdBm::DisplayUnitType::DUT_POUNDS_MASS_PER_CUBIC_INCH;30;Pounds per cubic inch
OdBm::DisplayUnitType::DUT_BRITISH_THERMAL_UNITS;31;British Thermal Units
OdBm::DisplayUnitType::DUT_CALORIES;32;Calories
OdBm::DisplayUnitType::DUT_KILOCALORIES;33;Kilocalories
OdBm::DisplayUnitType::DUT_JOULES;34;Joules
OdBm::DisplayUnitType::DUT_KILOWATT_HOURS;35;Kilowatt hours
OdBm::DisplayUnitType::DUT_THERMS;36;Therms
OdBm::DisplayUnitType::DUT_INCHES_OF_WATER_PER_100FT;37;Inches of water (60 °F) per 100 feet
OdBm::DisplayUnitType::DUT_PASCALS_PER_METER;38;Pascals per meter
OdBm::DisplayUnitType::DUT_WATTS;39;Watts
OdBm::DisplayUnitType::DUT_KILOWATTS;40;Kilowatts
OdBm::DisplayUnitType::DUT_BRITISH_THERMAL_UNITS_PER_SECOND;41;BTU (British Thermal Units) per second
OdBm::DisplayUnitType::DUT_BRITISH_THERMAL_UNITS_PER_HOUR;42;BTU (British Thermal Units) per hour
OdBm::DisplayUnitType::DUT_CALORIES_PER_SECOND;43;Calories per second
OdBm::DisplayUnitType::DUT_KILOCALORIES_PER_SECOND;44;Kilocalories per second
OdBm::DisplayUnitType::DUT_WATTS_PER_SQUARE_FOOT;45;Watts per square foot
OdBm::DisplayUnitType::DUT_WATTS_PER_SQUARE_METER;46;Watts per square meter
OdBm::DisplayUnitType::DUT_INCHES_OF_WATER;47;Inches of water (60 °F)
OdBm::DisplayUnitType::DUT_PASCALS;48;Pascals
OdBm::DisplayUnitType::DUT_KILOPASCALS;49;Kilopascals
OdBm::DisplayUnitType::DUT_MEGAPASCALS;50;Megapascals
OdBm::DisplayUnitType::DUT_POUNDS_FORCE_PER_SQUARE_INCH;51;Pounds per square inch
OdBm::DisplayUnitType::DUT_INCHES_OF_MERCURY;52;Inches of mercury (32 °F)
OdBm::DisplayUnitType::DUT_MILLIMETERS_OF_MERCURY;53;Millimeters of mercury
OdBm::DisplayUnitType::DUT_ATMOSPHERES;54;Atmospheres
OdBm::DisplayUnitType::DUT_BARS;55;Bars
OdBm::DisplayUnitType::DUT_FAHRENHEIT;56;Fahrenheit
OdBm::DisplayUnitType::DUT_CELSIUS;57;Celsius
OdBm::DisplayUnitType::DUT_KELVIN;58;Kelvin
OdBm::DisplayUnitType::DUT_RANKINE;59;Rankine
OdBm::DisplayUnitType::DUT_FEET_PER_MINUTE;60;Feet per minute
OdBm::DisplayUnitType::DUT_METERS_PER_SECOND;61;Meters per second
OdBm::DisplayUnitType::DUT_CENTIMETERS_PER_MINUTE;62;Centimeters per minute
OdBm::DisplayUnitType::DUT_CUBIC_FEET_PER_MINUTE;63;Cubic feet per minute
OdBm::DisplayUnitType::DUT_LITERS_PER_SECOND;64;Liters per second
OdBm::DisplayUnitType::DUT_CUBIC_METERS_PER_SECOND;65;Cubic meters per second
OdBm::DisplayUnitType::DUT_CUBIC_METERS_PER_HOUR;66;Cubic meters per hour
