NAME(Used only as reminder for value);VALUE;LABEL
OdBm::UnitType::UT_Undefined;-2;ODBM_CSV_NULL
OdBm::UnitType::UT_Custom;-1;ODBM_CSV_NULL
OdBm::UnitType::UT_Length;0;Length
OdBm::UnitType::UT_Area;1;Area
OdBm::UnitType::UT_Volume;2;Volume
OdBm::UnitType::UT_Angle;3;Angle
OdBm::UnitType::UT_Number;4;Number
OdBm::UnitType::UT_SheetLength;5;Sheet Length
OdBm::UnitType::UT_SiteAngle;6;Site Angle
OdBm::UnitType::UT_HVAC_Density;7;Density
OdBm::UnitType::UT_HVAC_Energy;8;Energy
OdBm::UnitType::UT_HVAC_Friction;9;Friction
OdBm::UnitType::UT_HVAC_Power;10;Power
OdBm::UnitType::UT_HVAC_Power_Density;11;Power Density
OdBm::UnitType::UT_HVAC_Pressure;12;Pressure
OdBm::UnitType::UT_HVAC_Temperature;13;Temperature
OdBm::UnitType::UT_HVAC_Velocity;14;Velocity
OdBm::UnitType::UT_HVAC_Airflow;15;Air Flow
OdBm::UnitType::UT_HVAC_DuctSize;16;Duct Size
OdBm::UnitType::UT_HVAC_CrossSection;17;Cross Section
OdBm::UnitType::UT_HVAC_HeatGain;18;Heat Gain
OdBm::UnitType::UT_Electrical_Current;19;Current
OdBm::UnitType::UT_Electrical_Potential;20;Electrical Potential
OdBm::UnitType::UT_Electrical_Frequency;21;Frequency
OdBm::UnitType::UT_Electrical_Illuminance;22;Illuminance
OdBm::UnitType::UT_Electrical_Luminous_Flux;23;Luminous Flux
OdBm::UnitType::UT_Electrical_Power;24;Power
OdBm::UnitType::UT_HVAC_Roughness;25;Roughness
OdBm::UnitType::UT_Force;26;Force
OdBm::UnitType::UT_LinearForce;27;Linear Force
OdBm::UnitType::UT_AreaForce;28;Area Force
OdBm::UnitType::UT_Moment;29;Moment
OdBm::UnitType::UT_ForceScale;30;Force Scale
OdBm::UnitType::UT_LinearForceScale;31;Linear Force Scale
OdBm::UnitType::UT_AreaForceScale;32;Area Force Scale
OdBm::UnitType::UT_MomentScale;33;Moment Scale
OdBm::UnitType::UT_Electrical_Apparent_Power;34;Apparent Power
OdBm::UnitType::UT_Electrical_Power_Density;35;Power Density
OdBm::UnitType::UT_Piping_Density;36;Density
OdBm::UnitType::UT_Piping_Flow;37;Flow
OdBm::UnitType::UT_Piping_Friction;38;Friction
OdBm::UnitType::UT_Piping_Pressure;39;Pressure
OdBm::UnitType::UT_Piping_Temperature;40;Temperature
OdBm::UnitType::UT_Piping_Velocity;41;Velocity
OdBm::UnitType::UT_Piping_Viscosity;42;Dynamic Viscosity
OdBm::UnitType::UT_PipeSize;43;Pipe Size
OdBm::UnitType::UT_Piping_Roughness;44;Roughness
OdBm::UnitType::UT_Stress;45;Stress
OdBm::UnitType::UT_UnitWeight;46;Unit Weight
OdBm::UnitType::UT_ThermalExpansion;47;Thermal Expansion Coefficient
OdBm::UnitType::UT_LinearMoment;48;Linear Moment
OdBm::UnitType::UT_LinearMomentScale;49;Linear Moment Scale
OdBm::UnitType::UT_ForcePerLength;50;Point Spring Coefficient
OdBm::UnitType::UT_ForceLengthPerAngle;51;Rotational Point Spring Coefficient
OdBm::UnitType::UT_LinearForcePerLength;52;Line Spring Coefficient
OdBm::UnitType::UT_LinearForceLengthPerAngle;53;Rotational Line Spring Coefficient
OdBm::UnitType::UT_AreaForcePerLength;54;Area Spring Coefficient
OdBm::UnitType::UT_Piping_Volume;55;Volume
OdBm::UnitType::UT_HVAC_Viscosity;56;Dynamic Viscosity
OdBm::UnitType::UT_HVAC_CoefficientOfHeatTransfer;57;Coefficient of Heat Transfer
OdBm::UnitType::UT_HVAC_Airflow_Density;58;Air Flow Density
OdBm::UnitType::UT_Slope;59;Slope
OdBm::UnitType::UT_HVAC_Cooling_Load;60;Cooling Load
OdBm::UnitType::UT_HVAC_Cooling_Load_Divided_By_Area;61;Cooling Load divided by Area
OdBm::UnitType::UT_HVAC_Cooling_Load_Divided_By_Volume;62;Cooling Load divided by Volume
OdBm::UnitType::UT_HVAC_Heating_Load;63;Heating Load
OdBm::UnitType::UT_HVAC_Heating_Load_Divided_By_Area;64;Heating Load divided by Area
OdBm::UnitType::UT_HVAC_Heating_Load_Divided_By_Volume;65;Heating Load divided by Volume
OdBm::UnitType::UT_HVAC_Airflow_Divided_By_Volume;66;Air Flow divided by Volume
OdBm::UnitType::UT_HVAC_Airflow_Divided_By_Cooling_Load;67;Air Flow divided by Cooling Load
OdBm::UnitType::UT_HVAC_Area_Divided_By_Cooling_Load;68;Area divided by Cooling Load
OdBm::UnitType::UT_WireSize;69;Wire Diameter
OdBm::UnitType::UT_HVAC_Slope;70;Slope
OdBm::UnitType::UT_Piping_Slope;71;Slope
OdBm::UnitType::UT_Currency;72;Currency
OdBm::UnitType::UT_Electrical_Efficacy;73;Efficacy
OdBm::UnitType::UT_Electrical_Wattage;74;Wattage
OdBm::UnitType::UT_Color_Temperature;75;Color Temperature
OdBm::UnitType::UT_DecSheetLength;76;Sheet Length
OdBm::UnitType::UT_Electrical_Luminous_Intensity;77;Luminous Intensity
OdBm::UnitType::UT_Electrical_Luminance;78;Luminance
